Missing coastal definitions:

ARID_ARBORETUM → ARID_COAST_FLAT
ASPEN_FOREST → TEMPERATE_COAST_FLAT
BADLANDS → ARID_COAST_FLAT
BAMBOO_BASIN → TROPICAL_COAST_FLAT
BAMBOO_JUNGLE → TROPICAL_COAST_FLAT
BARE_BOULDERFIELDS → POLAR_COAST_HIGHLANDS
BIRCH_FOREST → TEMPERATE_COAST_FLAT
BIRCH_WOODLANDS → BOREAL_COAST_FLAT
BLACK_FOREST → TEMPERATE_COAST_FLAT
BOREAL_MESA → BOREAL_COAST_FLAT
BOREAL_SHRUBLAND → BOREAL_COAST_FLAT
BROADLEAF_FOREST → TEMPERATE_COAST_FLAT
CANOPY_CASCADES → TROPICAL_COAST_HIGHLANDS
CHAPARRAL → TEMPERATE_COAST_FLAT
CLOUD_FOREST → TROPICAL_COAST_HIGHLANDS
COLD_DESERT_MESA → POLAR_COAST_FLAT
COLD_STEPPE → BOREAL_COAST_FLAT
DARK_FOREST → TEMPERATE_COAST_FLAT
DRYBRUSH → ARID_COAST_FLAT
DRY_FIR_FIELDS → BOREAL_COAST_FLAT
DRY_PALM_FOREST → ARID_COAST_FLAT
DRY_WOODLANDS → TROPICAL_COAST_FLAT
FIR_FIELDS → BOREAL_COAST_FLAT
FLOWERING_FOREST → TEMPERATE_COAST_FLAT
FOLIAGE_FORTRESS_INNER → TEMPERATE_COAST_FLAT
FOLIAGE_FORTRESS_MIDDLE → TEMPERATE_COAST_FLAT
FOLIAGE_FORTRESS_OUTER → TEMPERATE_COAST_FLAT
GLOOMY_GORGE → BOREAL_COAST_FLAT
GRASS_SAVANNA → TROPICAL_COAST_FLAT
ICE_CAPS → POLAR_COAST_HIGHLANDS
ICE_SPIKES → POLAR_COAST_FLAT
JUNGLE → TROPICAL_COAST_FLAT
MAPLE_GROVE → BOREAL_COAST_FLAT
MAPLE_WOODLANDS → BOREAL_COAST_FLAT
MOORLAND → TEMPERATE_COAST_FLAT
MOUNTAINS → TEMPERATE_COAST_HIGHLANDS
OAK_FOREST → TEMPERATE_COAST_FLAT
OAK_SAVANNA → TEMPERATE_COAST_FLAT
OAK_WOODLANDS → BOREAL_COAST_FLAT
PALM_FOREST → TEMPERATE_COAST_FLAT
PEARLESCENT_DESERT → ARID_COAST_FLAT
PINE_CANOPY → BOREAL_COAST_FLAT
PRAIRIE → TEMPERATE_COAST_FLAT
REDWOOD_WOODLANDS → BOREAL_COAST_FLAT
ROCKY_DESERT → ARID_COAST_FLAT
ROCKY_GRASSLAND → TEMPERATE_COAST_FLAT
ROCKY_JUNGLE → TROPICAL_COAST_FLAT
ROCKY_REFUGE → TEMPERATE_COAST_HIGHLANDS
SAKURA_GROVE → TEMPERATE_COAST_FLAT
SAKURA_STREAMS → TEMPERATE_COAST_FLAT
SAKURA_WOODLANDS → BOREAL_COAST_FLAT
SALT_FLATS → ARID_COAST_FLAT
SAVANNA → TROPICAL_COAST_FLAT
SEQUOIA_FOREST → BOREAL_COAST_FLAT
SNOWDRIFT_MEADOWS → POLAR_COAST_FLAT
SNOWY_BADLANDS → ARID_COAST_FLAT
SNOWY_BIRCH_FOREST → BOREAL_COAST_FLAT
SNOWY_MEADOW → POLAR_COAST_FLAT
SNOWY_TAIGA → BOREAL_COAST_FLAT
STEPPE → TEMPERATE_COAST_FLAT
TAIGA → BOREAL_COAST_FLAT
TAIGA_CLEARING → BOREAL_COAST_FLAT
TALL_TIMBERLAND → BOREAL_COAST_FLAT
TEMPERATE_GRASSLAND → TEMPERATE_COAST_FLAT
TEMPERATE_MESA → TEMPERATE_COAST_FLAT
TEMPERATE_OVERPASS → TEMPERATE_COAST_FLAT
TEMPERATE_RAINFOREST → TEMPERATE_COAST_FLAT
WHITE_WALLOWS → BOREAL_COAST_FLAT
WOODED_BUTTES → TEMPERATE_COAST_FLAT
YELLOW_MAPLE_GROVE → BOREAL_COAST_FLAT
